Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
01153_00000.ppm,141,142,12,12,128,130,0
01153_00001.ppm,120,123,10,10,109,113,0
01153_00002.ppm,105,107,9,9,96,98,0
01160_00000.ppm,94,105,8,9,86,95,0
01160_00001.ppm,128,139,11,12,117,127,0
01160_00002.ppm,110,118,9,10,101,108,0
01797_00000.ppm,85,95,7,8,77,87,0
01797_00001.ppm,180,193,15,16,164,177,0
01797_00002.ppm,121,133,10,11,110,121,0
01798_00000.ppm,81,88,7,7,74,81,0
01798_00001.ppm,240,249,20,21,220,227,0
01798_00002.ppm,136,146,11,12,124,134,0
01799_00000.ppm,253,263,21,22,232,241,0
01799_00001.ppm,139,151,12,13,127,137,0
01799_00002.ppm,99,110,8,9,91,100,0
00025_00000.ppm,57,61,5,5,52,56,1
00025_00001.ppm,82,88,7,7,74,81,1
00025_00002.ppm,107,118,9,10,98,108,1
00029_00000.ppm,57,61,5,5,51,55,1
00029_00001.ppm,73,79,6,7,67,72,1
00029_00002.ppm,128,75,11,6,116,69,1
00079_00000.ppm,100,112,8,9,91,103,1
00079_00001.ppm,132,151,11,13,120,137,1
00079_00002.ppm,264,167,22,14,242,153,1
00136_00000.ppm,80,84,7,7,73,76,1
00136_00001.ppm,178,176,15,15,163,160,1
00136_00002.ppm,51,54,5,5,46,48,1
00143_00000.ppm,49,50,5,5,44,44,1
00143_00001.ppm,63,67,5,6,57,61,1
00143_00002.ppm,144,160,12,13,131,146,1
00455_00000.ppm,42,42,5,5,37,37,1
00455_00001.ppm,42,44,5,5,37,38,1
00455_00002.ppm,44,45,5,5,38,39,1
00468_00000.ppm,51,52,5,5,46,47,1
00468_00001.ppm,44,48,5,5,39,43,1
00468_00002.ppm,76,81,6,7,69,74,1
00475_00000.ppm,142,152,12,13,130,138,1
00475_00001.ppm,83,91,7,8,75,83,1
00475_00002.ppm,59,64,5,5,53,58,1
00801_00000.ppm,97,108,8,9,89,99,1
00801_00001.ppm,86,99,7,8,78,90,1
00801_00002.ppm,81,86,7,7,73,79,1
00806_00000.ppm,67,27,6,5,61,21,1
00806_00001.ppm,67,26,6,5,60,20,1
00806_00002.ppm,63,25,5,5,57,20,1
00874_00000.ppm,73,79,6,7,67,71,1
00874_00001.ppm,83,85,7,7,75,77,1
00874_00002.ppm,93,98,8,8,84,89,1
00876_00000.ppm,142,99,12,8,130,90,1
00876_00001.ppm,178,116,15,10,163,105,1
00876_00002.ppm,160,106,13,9,146,96,1
00877_00000.ppm,123,136,10,11,113,125,1
00877_00001.ppm,139,153,12,13,127,140,1
00877_00002.ppm,130,145,11,12,118,133,1
00881_00000.ppm,87,95,7,8,79,87,1
00881_00001.ppm,103,106,9,9,93,97,1
00881_00002.ppm,96,99,8,8,87,91,1
00897_00000.ppm,98,103,8,9,89,94,1
00897_00001.ppm,81,84,7,7,73,77,1
00897_00002.ppm,91,92,8,8,83,84,1
00900_00000.ppm,81,88,7,7,74,80,1
00900_00001.ppm,68,73,6,6,62,67,1
00900_00002.ppm,74,83,6,7,67,75,1
00920_00000.ppm,97,91,8,8,89,82,1
00920_00001.ppm,98,94,8,8,89,86,1
00920_00002.ppm,96,88,8,7,88,80,1
00921_00000.ppm,110,105,9,9,101,95,1
00921_00001.ppm,121,112,10,9,110,102,1
00933_00000.ppm,97,91,8,8,88,82,1
00933_00001.ppm,86,84,7,7,79,76,1
00933_00002.ppm,79,75,7,6,72,68,1
00941_00000.ppm,151,170,13,14,137,155,1
00941_00001.ppm,100,111,8,9,92,102,1
00941_00002.ppm,110,123,9,10,101,112,1
00947_00000.ppm,72,74,6,6,65,68,1
00947_00001.ppm,76,81,6,7,70,74,1
00947_00002.ppm,87,88,7,7,80,80,1
00965_00000.ppm,110,122,9,10,101,111,1
00965_00001.ppm,105,115,9,10,96,104,1
00965_00002.ppm,97,110,8,9,88,100,1
01028_00000.ppm,45,49,5,5,40,43,1
01028_00001.ppm,46,50,5,5,40,45,1
01028_00002.ppm,47,51,5,5,42,46,1
01103_00000.ppm,75,84,6,7,69,77,1
